province_code_dapodik;province_name;district_code_dapodik;district_name;ptkid;status_asn;instansi_kelulusan;jabatan_kelulusan;umur;pulau;perguruan_tinggi_s1;program_studi_s1;bidang_studi_ppg;lptk;status;distribution
30000;JAWA TENGAH;31300;KARANGANYAR;7000131789;;;;25;JAWA;Sekolah Tinggi Pariwisata Sahid Surakarta;Kepariwisataan;Usaha Layanan Pariwisata;Universitas Muhammadiyah Prof. Dr. Hamka;Belum;1
30000;JAWA TENGAH;30600;PURWOREJO;7000247601;;;;25;JAWA;Universitas Muhammadiyah Purworejo;Pendidikan Teknik Otomotif;Teknik Otomotif;Universitas Pendidikan Indonesia;Belum;1
30000;JAWA TENGAH;30600;PURWOREJO;7000274219;;;;25;JAWA;Universitas Muhammadiyah Purworejo;Pendidikan Teknik Otomotif;Teknik Otomotif;Universitas Pendidikan Indonesia;Belum;1
30000;JAWA TENGAH;30600;PURWOREJO;7000011419;ASN PPPK PEMDA;KAB. PURWOREJO;AHLI PERTAMA - GURU BAHASA INDONESIA;26;JAWA;Universitas Negeri Yogyakarta;Pendidikan Bahasa Dan Sastra Indonesia;Bahasa Indonesia;Universitas Muhammadiyah Purwokerto;Sudah;1
30000;JAWA TENGAH;30300;PURBALINGGA;7000038710;ASN PPPK PEMDA;KAB. PURWOREJO;AHLI PERTAMA - GURU BAHASA INDONESIA;29;JAWA;Universitas Sebelas Maret;Pendidikan Bahasa Dan Sastra Indonesia;Bahasa Indonesia;Universitas Muhammadiyah Purwokerto;Sudah;1
30000;JAWA TENGAH;30400;BANJARNEGARA;7000045211;;;;29;JAWA;Universitas Muhammadiyah Surakarta;Pendidikan Bahasa Dan Sastra Indonesia;Bahasa Indonesia;Universitas Muhammadiyah Purwokerto;Belum;1
30000;JAWA TENGAH;36300;KOTA SEMARANG;7000286935;;;;25;JAWA;Universitas Negeri Semarang;Pendidikan Teknik Otomotif;Teknik Otomotif;Universitas Negeri Malang;Belum;1
30000;JAWA TENGAH;31500;GROBOGAN;7000262693;;;;24;JAWA;Universitas Negeri Semarang;Pendidikan Teknik Otomotif;Teknik Otomotif;Universitas Negeri Malang;Belum;1
30000;JAWA TENGAH;31600;BLORA;7000248026;;;;25;JAWA;Universitas Negeri Semarang;Pendidikan Teknik Otomotif;Teknik Otomotif;Universitas Negeri Malang;Belum;1
30000;JAWA TENGAH;31400;SRAGEN;7000268336;;;;24;JAWA;Universitas Negeri Semarang;Pendidikan Teknik Otomotif;Teknik Otomotif;Universitas Muhammadiyah Purworejo;Belum;1
30000;JAWA TENGAH;30600;PURWOREJO;7000061850;ASN PPPK PEMDA;KAB. PURWOREJO;AHLI PERTAMA - GURU BAHASA INDONESIA;32;JAWA;Universitas Negeri Yogyakarta;Pendidikan Bahasa Dan Sastra Indonesia;Bahasa Indonesia;Universitas Ahmad Dahlan;Sudah;1
30000;JAWA TENGAH;30600;PURWOREJO;7000068870;ASN PPPK PEMDA;KAB. PURWOREJO;AHLI PERTAMA - GURU BAHASA INDONESIA;28;JAWA;Universitas Negeri Yogyakarta;Pendidikan Bahasa Dan Sastra Indonesia;Bahasa Indonesia;Universitas Negeri Yogyakarta;Sudah;1
